url_length,domain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_query_marks,num_ampersands,num_equals,has_at_symbol,has_ip_address,uses_https,num_subdomains,has_suspicious_tld,num_digits,num_digits_domain,num_special_chars,has_port,url_entropy,domain_entropy,num_suspicious_keywords,is_shortened,path_double_slash,has_redirect,domain_has_numbers,query_length,num_query_params,has_fragment,url_depth,has_deceptive_https,label
81,15,18,2,0,1,5,1,2,3,0,0,1,1,1,17,0,10,0,4.1252,3.424,3,0,0,0,0,19,4,0,5,1,1
73,22,5,4,0,1,5,1,0,0,0,0,0,4,0,8,2,5,1,4.0958,5.0,0,0,0,1,1,17,0,0,6,0,1
71,21,25,3,1,0,5,0,0,4,0,0,1,2,1,4,0,1,0,3.6172,3.4123,1,0,0,1,1,21,4,1,4,0,1
46,14,0,3,1,0,3,0,2,0,0,0,1,0,0,3,0,4,0,2.9268,2.7278,0,0,0,0,0,2,0,0,4,0,0
46,23,15,5,3,2,6,1,2,3,1,0,0,0,1,7,3,8,0,5.1098,3.7837,1,1,0,0,1,9,2,1,3,1,1
92,20,32,5,1,0,5,0,3,2,0,0,0,0,0,4,1,12,0,3.5411,3.8537,1,0,1,0,0,20,3,1,4,0,1
44,11,11,2,0,0,4,0,0,1,0,0,1,0,0,1,0,0,0,3.4401,3.0499,1,0,1,0,1,6,0,0,1,0,0
91,15,10,4,0,0,6,2,1,0,1,0,1,3,1,3,0,12,0,4.4661,3.1327,1,0,1,1,0,19,2,1,2,0,1
55,10,4,2,0,0,4,0,0,0,0,0,1,0,0,3,0,5,0,3.38,2.8993,0,0,0,0,0,9,3,0,1,0,0
62,5,0,2,0,0,3,0,1,0,0,0,1,0,0,5,0,6,0,2.9951,2.3392,0,0,0,0,1,13,0,0,4,0,0
27,8,29,2,1,0,2,0,0,1,0,0,1,1,1,4,0,2,0,4.0879,2.7171,1,0,0,0,1,24,0,0,1,0,0
33,12,7,2,0,0,3,0,1,1,0,0,1,1,0,0,1,5,0,3.2151,3.473,0,0,0,0,0,7,1,1,3,0,0
45,11,30,2,2,0,2,0,2,1,0,0,1,1,0,2,0,2,0,3.2845,2.9444,0,0,0,0,1,0,0,1,2,0,0
43,24,35,3,1,1,3,2,1,0,0,0,0,3,0,4,3,11,0,4.5789,3.3396,1,0,0,0,1,46,4,0,4,0,1
69,21,27,2,2,0,5,2,0,4,1,0,1,2,1,7,2,13,0,4.1232,3.7328,3,1,0,0,1,7,2,0,4,0,1
61,6,8,2,1,0,4,0,0,1,0,0,1,2,0,6,0,4,0,3.2031,2.6768,0,0,0,0,0,14,0,0,2,0,0
55,22,40,4,1,1,3,1,1,1,0,0,1,2,0,7,3,2,0,4.5452,4.1995,2,1,1,0,1,8,2,0,5,0,1
23,12,6,1,2,0,3,1,0,0,0,0,1,1,0,1,0,3,0,3.3485,3.2231,1,0,0,0,0,4,3,0,1,0,0
33,6,11,1,0,0,3,0,1,0,0,0,1,2,0,3,0,3,0,3.8069,2.6638,0,0,0,0,0,13,0,0,4,0,0
29,8,12,3,2,0,2,0,1,1,0,0,1,0,0,6,0,3,0,3.1627,3.0705,0,0,1,0,0,14,1,0,2,0,0
57,19,26,2,0,0,5,1,1,1,0,0,1,0,0,3,2,2,0,4.0815,3.0712,0,0,0,0,0,9,2,0,1,0,0
86,21,46,3,1,1,4,1,1,0,0,1,1,1,0,10,1,8,1,4.6361,4.0333,2,0,1,0,1,40,4,0,3,0,1
31,10,8,3,1,0,2,0,3,1,0,0,1,0,0,2,0,3,0,3.2113,2.4787,0,0,0,0,0,19,0,0,4,0,0
84,23,42,5,0,0,4,0,2,1,0,1,0,1,0,12,0,3,0,3.8679,3.5886,1,0,0,0,0,0,2,0,4,0,1
30,25,36,3,4,0,5,0,0,2,0,0,0,2,0,0,1,5,0,4.2974,3.7616,2,0,0,0,1,32,2,1,5,0,1
52,13,8,2,0,0,4,0,0,2,0,0,1,0,0,1,0,2,0,4.0338,3.1792,0,0,1,0,0,0,2,0,2,0,0
30,14,14,3,1,0,3,0,1,0,0,0,1,0,0,0,0,3,0,3.5428,2.8014,0,0,1,0,0,15,0,0,4,0,0
113,26,38,4,1,0,5,0,3,3,0,0,0,2,0,8,4,8,0,3.7175,3.2537,1,0,1,0,1,26,3,0,3,0,1
67,8,28,5,0,0,5,0,4,1,0,1,1,1,0,10,2,6,1,4.1808,3.1176,1,0,0,0,1,0,0,0,3,0,1
46,17,20,2,0,0,3,0,1,1,0,0,1,0,0,1,0,2,0,4.0298,2.6583,0,1,1,0,0,11,0,0,2,0,0
51,7,11,1,0,0,4,0,0,2,0,0,1,1,0,4,1,3,0,3.7852,3.4377,0,0,0,0,1,17,0,0,1,0,0
39,6,3,2,1,0,4,0,0,1,0,0,1,0,0,3,0,4,0,4.0558,2.3195,0,0,0,0,1,6,1,1,4,0,0
100,19,46,3,0,0,6,1,1,2,0,0,1,1,1,0,2,1,1,4.0011,2.7501,3,0,0,1,0,0,2,0,4,0,1
80,36,17,5,1,1,4,0,0,2,0,0,1,0,0,11,4,7,0,3.4604,3.0692,1,0,0,1,0,52,3,0,4,0,1
87,25,36,2,0,1,4,0,1,0,0,0,0,0,0,9,2,6,0,4.8987,3.882,2,0,0,0,1,11,3,1,5,0,1
66,27,26,4,3,0,7,1,1,0,0,1,1,3,0,0,0,3,0,4.8108,3.5898,0,0,0,1,0,15,3,0,6,0,1
60,26,29,3,1,2,4,2,2,3,0,0,1,2,1,13,0,11,0,4.323,3.8497,0,1,0,0,0,40,2,0,4,0,1
56,7,23,2,0,0,3,1,0,1,0,0,0,1,0,3,0,6,0,2.5002,2.5679,1,0,0,0,0,0,1,1,2,0,0
42,24,16,3,0,0,6,2,2,3,0,0,0,2,1,9,0,14,1,4.4983,3.7533,2,0,0,1,1,15,3,0,5,0,1
98,14,13,4,0,2,6,1,0,3,0,1,0,0,1,10,2,7,0,4.5997,3.531,3,1,1,0,1,0,2,0,4,0,1
83,29,6,5,0,2,3,0,0,1,0,0,0,1,1,13,2,10,0,4.4712,2.5718,0,0,1,0,1,29,4,0,6,0,1
85,26,50,4,0,1,6,1,3,1,0,0,0,0,1,10,3,8,0,3.6609,3.4577,3,0,0,0,0,32,3,0,5,0,1
77,9,12,2,1,0,2,1,1,2,0,0,0,0,0,0,1,4,0,3.3935,2.5362,1,0,0,1,1,11,3,0,2,0,0
40,10,30,2,0,0,2,1,0,2,0,0,1,0,0,2,0,2,0,3.8072,3.0785,0,0,0,0,0,0,2,0,3,0,0
48,14,15,2,0,0,4,0,0,2,0,0,1,0,0,0,0,4,0,3.8865,2.7611,0,0,0,0,0,29,1,0,3,0,0
33,4,8,1,0,0,4,1,0,3,0,0,1,1,0,1,1,3,0,3.6562,2.7394,0,0,0,0,0,0,1,0,3,0,0
52,4,14,2,1,0,4,1,2,1,0,0,1,1,0,3,2,3,0,3.9719,3.0929,1,0,0,0,0,1,0,0,2,0,0
77,25,33,4,0,0,4,2,0,0,0,1,1,1,1,6,2,15,0,4.6606,3.3367,1,0,0,1,1,0,1,0,2,0,1
42,15,4,2,1,0,3,1,1,2,0,0,1,0,1,1,2,8,1,3.5915,3.2843,0,0,0,0,0,15,1,0,1,0,0
61,8,15,2,0,0,3,0,2,0,0,0,1,1,0,3,0,4,0,3.8529,2.771,0,0,0,0,0,22,1,1,2,0,0
56,9,8,1,0,0,3,0,1,0,0,0,1,0,0,4,0,6,0,4.0519,2.6985,0,0,0,0,0,27,1,0,3,0,0
63,10,17,5,1,0,3,1,0,4,0,1,0,0,1,11,1,9,0,4.1411,3.2278,2,1,0,0,0,63,2,0,4,0,1
39,7,23,2,1,0,3,1,1,2,0,0,1,0,0,3,0,1,0,3.6799,3.0621,0,0,0,0,0,15,1,1,3,0,0
38,21,30,4,2,1,7,2,0,1,0,0,1,0,1,9,1,13,0,4.4882,3.5479,1,0,1,0,1,16,1,1,3,1,1
