url_length,domain_length,path_length,num_dots,num_hyphens,num_underscores,num_slashes,num_query_marks,num_ampersands,num_equals,has_at_symbol,has_ip_address,uses_https,num_subdomains,has_suspicious_tld,num_digits,num_digits_domain,num_special_chars,has_port,url_entropy,domain_entropy,num_suspicious_keywords,is_shortened,path_double_slash,has_redirect,domain_has_numbers,query_length,num_query_params,has_fragment,url_depth,label
47,18,22,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9408,3.5305,1,1,0,0,0,0,0,0,2,1
74,37,30,5,0,0,2,0,0,0,0,0,0,3,0,7,0,0,0,4.5303,3.936,0,0,0,0,0,0,0,0,2,1
42,17,18,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3.9191,3.5281,0,0,0,0,0,0,0,0,3,1
47,25,15,2,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,4.3232,4.0537,0,0,0,0,0,0,0,0,2,1
25,14,4,3,0,0,2,0,0,0,0,1,0,2,0,13,11,0,0,3.0791,1.9852,0,0,0,0,1,0,0,0,1,1
22,10,5,2,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,3.6412,2.9219,0,0,0,0,1,0,0,0,1,1
31,14,10,3,0,0,3,0,0,0,0,1,0,2,0,13,11,0,0,3.5758,1.9852,0,0,0,0,1,0,0,0,2,1
73,19,47,3,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,4.0672,3.2608,0,0,0,1,0,0,0,0,5,1
38,11,20,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,3.7249,2.8454,0,0,1,0,0,0,0,0,3,1
46,20,19,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4.2269,3.6464,0,0,0,0,0,0,0,0,2,1
24,14,3,3,0,0,2,0,0,0,0,1,0,2,0,12,11,0,0,2.955,1.9852,0,0,0,0,1,0,0,0,1,1
59,14,38,4,0,0,6,0,0,0,0,1,0,2,0,15,11,0,0,4.2176,1.9852,0,0,0,0,1,0,0,0,6,1
28,21,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.7229,3.2321,0,0,0,0,0,0,0,0,0,1
43,14,22,4,0,0,3,0,0,0,0,1,0,2,0,12,11,0,0,4.0804,1.9852,0,0,0,0,1,0,0,0,3,1
26,11,8,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4.1518,3.4594,0,1,0,0,0,0,0,0,1,1
40,20,13,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,4.2628,3.9219,0,0,0,0,0,0,0,0,3,1
60,17,36,2,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,4.1546,3.4992,0,0,0,0,0,0,0,0,4,1
74,16,51,2,0,0,6,0,0,0,0,0,0,0,0,19,0,0,0,4.2274,3.3278,0,0,1,0,0,0,0,0,5,1
37,28,1,2,0,0,1,0,0,0,0,0,1,1,0,3,3,0,0,3.9288,3.7979,0,0,0,0,0,0,0,0,0,1
33,12,14,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,3.9226,3.2516,0,0,0,0,0,0,0,0,3,1
57,18,32,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,4.4964,3.6144,0,0,0,0,0,0,0,0,5,1
41,11,23,3,0,3,1,0,0,0,0,0,0,1,0,0,0,3,0,3.9187,2.8454,0,0,0,0,0,0,0,0,1,1
49,14,28,4,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,4.1907,2.6456,1,0,0,0,0,0,0,0,4,1
38,15,16,2,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,3.9785,3.3232,1,0,0,0,0,0,0,0,3,1
82,31,44,2,2,0,4,0,0,0,0,0,0,1,0,19,0,0,0,4.6376,3.8732,1,0,0,0,0,0,0,0,3,1
78,27,44,1,2,0,4,0,0,0,0,0,0,0,0,19,0,0,0,4.5639,3.764,1,0,0,0,0,0,0,0,3,1
48,27,14,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4.2207,3.9303,0,0,0,0,0,0,0,0,2,1
42,19,16,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.1455,3.4714,0,0,0,0,0,0,0,0,2,1
47,11,29,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,4.2932,3.0958,0,0,0,0,0,0,0,0,3,1
51,18,26,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3.9275,3.5305,1,1,0,0,0,0,0,0,3,1
56,17,31,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,4.2334,3.2928,0,0,0,0,0,0,0,0,4,1
51,12,31,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,4.1815,3.085,0,0,0,0,0,0,0,0,4,1
40,18,14,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4.1276,3.5724,0,0,0,0,0,0,0,0,2,1
43,26,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3.7515,3.2766,0,0,0,0,0,0,0,0,1,1
31,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.797,3.455,0,0,0,0,0,0,0,0,0,1
245,68,170,9,1,1,5,0,1,1,0,0,0,4,0,115,17,4,0,4.5276,4.5786,1,0,0,0,1,0,0,0,5,1
39,16,16,3,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,4.0679,3.2028,0,0,0,0,0,0,0,0,3,1
54,17,30,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.1427,2.9842,1,0,0,0,0,0,0,0,1,1
80,19,54,4,0,0,3,0,0,0,0,0,0,0,0,4,0,4,0,4.5838,3.6819,2,0,0,0,0,0,0,0,3,1
59,21,31,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4.1785,3.7257,0,0,0,0,0,0,0,0,4,1
22,10,5,2,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,3.7322,3.1219,0,0,0,0,1,0,0,0,1,1
72,29,36,3,0,0,4,0,0,0,0,0,0,1,0,4,0,0,0,4.3177,3.4604,0,0,0,0,0,0,0,0,4,1
54,13,33,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,4.2599,3.2389,0,0,0,0,0,0,0,0,4,1
57,20,30,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.302,3.2037,1,0,0,0,0,0,0,0,1,1
81,56,17,2,2,0,4,0,0,0,0,0,1,1,0,3,0,0,0,4.3387,4.1402,1,0,0,0,0,0,0,0,3,1
89,24,58,3,0,0,5,0,0,0,0,0,0,1,0,4,0,2,0,4.6393,3.8035,0,0,0,0,0,0,0,0,5,1
50,17,26,3,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,4.1611,3.4992,0,0,0,0,0,0,0,0,2,1
60,13,40,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,4.094,3.2389,0,0,0,0,0,0,0,0,6,1
22,10,5,2,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,3.6412,2.9219,0,0,0,0,1,0,0,0,1,1
54,18,29,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,3.9882,3.3502,0,0,0,0,0,0,0,0,4,1
26,11,8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.056,3.4594,0,1,0,0,0,0,0,0,1,1
26,11,8,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3.998,3.4594,0,1,0,0,0,0,0,0,1,1
19,5,6,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,3.6421,2.3219,0,0,0,0,0,0,0,0,1,1
76,20,48,5,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,4.1101,3.3087,2,0,0,0,0,0,0,0,4,1
49,25,17,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.0842,3.5933,0,0,0,0,0,0,0,0,2,1
26,11,8,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3.998,3.4594,0,1,0,0,0,0,0,0,1,1
31,19,5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.9378,3.5111,0,0,0,0,0,0,0,0,1,1
58,16,35,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4.1962,3.4528,0,0,0,0,0,0,0,0,3,1
46,17,22,3,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,4.2326,3.0131,0,0,0,0,0,0,0,0,3,1
40,19,14,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3.9062,3.1106,0,0,0,0,0,0,0,0,2,1
58,25,25,5,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,4.1984,3.8333,0,0,0,0,0,0,0,0,2,1
80,19,54,4,0,0,3,0,0,0,0,0,0,0,0,4,0,4,0,4.5838,3.6819,2,0,0,0,0,0,0,0,3,1
36,19,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3.8638,3.5369,0,0,0,0,0,0,0,0,1,1
